,MAPE,MAE,RMSE,Parameters
108,0.9226275456177182,2.25582038931783,3.519332926531408,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
109,1.0780273002936258,2.6336662789753387,4.212211767500015,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
110,0.9257921894022574,2.2681282629792063,3.5330830890287532,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
111,1.077649199298374,2.6300119229555223,4.194493259652906,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
112,0.933091391178629,2.2857925564671606,3.5833794165994477,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
113,1.0573447436388277,2.586142765302345,4.118646811816374,"{'changepoint_prior_scale': 1, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
114,0.9349145183498636,2.2865383313449854,3.4979429513524227,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
115,1.0958605640190924,2.6749359863479762,4.300071767541159,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
116,0.9217960729896878,2.255920197179275,3.500394721589018,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
117,1.0550298646855116,2.5775542850603537,4.113452938477824,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
118,0.9576072633056342,2.345684573011814,3.668578446132123,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
119,1.028253975039155,2.5158879391035827,3.9993768859884367,"{'changepoint_prior_scale': 1, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
120,0.9244363524186434,2.2602266309678978,3.529940995007576,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
121,1.040370036229209,2.5449246456998087,4.076070470707284,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
122,0.9222084881687594,2.2570738250799547,3.5210299159678904,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
123,1.0260208070630632,2.520598075345883,3.8969377638101443,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
124,0.9083512715416178,2.2282537331475623,3.4896833622899246,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
125,1.0237862107172326,2.508044966723506,3.9759606388230493,"{'changepoint_prior_scale': 1.5, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
126,0.9610643016803959,2.3514805689260037,3.693960686181456,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
127,1.058046943208759,2.5856716831276714,4.132111785547273,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
128,0.9393634742226056,2.2996318822327795,3.6103312121251294,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
129,1.0642744042594354,2.601442674361242,4.139077295506468,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
130,0.9154022517823881,2.2464013212639338,3.509495529048636,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
131,1.0444414641308484,2.5545141456387244,4.064232540952543,"{'changepoint_prior_scale': 1.5, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
