,MAPE,MAE,RMSE,Parameters
167,1.0159669378797238,2.4891879595108732,3.95190271600187,"{'changepoint_prior_scale': 2, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
168,0.9349817517456396,2.2852459642077387,3.5750995521851223,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
169,1.0749716977960722,2.626253114099925,4.218336188701828,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
170,0.920772936783383,2.253845611738001,3.511888783692925,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
171,1.0495915973320702,2.5723028720056824,4.055680402261074,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
172,0.9510023331292521,2.3310822963812137,3.6545893410662647,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
173,1.0079537143687103,2.4674946480463658,3.9193709934050966,"{'changepoint_prior_scale': 2, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
174,0.9451897690941843,2.310606845611202,3.6235324649711917,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
175,1.0165026621089763,2.4898357900092525,3.8989254444798696,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
176,0.8984796482203053,2.2025175555044587,3.400585807212202,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
177,1.032053035156539,2.5241800927177818,3.9929620741465577,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
178,0.913404173300637,2.2394928703705532,3.4982761777655256,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
179,1.029139902646532,2.521859217285698,3.9923276934696244,"{'changepoint_prior_scale': 2, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
